ticker,entry_date,horizon,status,sentiment_score,sentiment_bucket,pnl_pct,sizing_multiplier,adjusted_pnl,is_win
UNITDSPR.NS,2026-05-05,BTST_1d,EXPIRED_LOSS,67,YELLOW_ALERT,-2.41,0.85,-2.0485,False
WIPRO.NS,2026-05-05,BTST_1d,EXPIRED_WIN,67,YELLOW_ALERT,0.18,0.85,0.153,True
SBILIFE.NS,2026-05-05,Swing_3d,EXPIRED_WIN,67,YELLOW_ALERT,2.46,0.85,2.091,True
SHRIRAMFIN.NS,2026-05-05,BTST_1d,EXPIRED_WIN,67,YELLOW_ALERT,2.65,0.85,2.2525,True
ALKEM.NS,2026-05-05,Swing_5d,EXPIRED_WIN,67,YELLOW_ALERT,3.65,0.85,3.1025,True
GLAXO.NS,2026-05-05,BTST_1d,EXPIRED_WIN,67,YELLOW_ALERT,0.61,0.85,0.5185,True
IPCALAB.NS,2026-05-05,BTST_1d,EXPIRED_WIN,67,YELLOW_ALERT,1.31,0.85,1.1135,True
SBILIFE.NS,2026-05-05,Swing_5d,LOST,67,YELLOW_ALERT,-0.07,0.85,-0.0595,False
UNITDSPR.NS,2026-04-30,BTST_1d,EXPIRED_LOSS,52,YELLOW_ALERT,-0.28,0.85,-0.238,False
AMBUJACEM.NS,2026-04-30,BTST_1d,EXPIRED_WIN,52,YELLOW_ALERT,0.09,0.85,0.0765,True
HATSUN.NS,2026-04-30,BTST_1d,EXPIRED_WIN,52,YELLOW_ALERT,0.5,0.85,0.425,True
SHREECEM.NS,2026-04-30,BTST_1d,EXPIRED_WIN,52,YELLOW_ALERT,2.85,0.85,2.4225,True
APLAPOLLO.NS,2026-04-30,Swing_3d,LOST,52,YELLOW_ALERT,-2.1,0.85,-1.785,False
GLAXO.NS,2026-04-30,Swing_3d,LOST,52,YELLOW_ALERT,-0.26,0.85,-0.221,False
MRF.NS,2026-04-30,Swing_3d,LOST,52,YELLOW_ALERT,-1.6,0.85,-1.36,False
RAJESHEXPO.NS,2026-04-30,BTST_1d,LOST,52,YELLOW_ALERT,-1.5,0.85,-1.275,False
SONACOMS.NS,2026-04-30,Swing_5d,LOST,52,YELLOW_ALERT,-3.0,0.85,-2.55,False
BAJAJ-AUTO.NS,2026-04-30,BTST_1d,WON,52,YELLOW_ALERT,3.25,0.85,2.7625,True
BAJAJ-AUTO.NS,2026-04-30,Swing_5d,WON,52,YELLOW_ALERT,6.19,0.85,5.2615,True
GAIL.NS,2026-04-29,Swing_5d,LOST,65,YELLOW_ALERT,-2.6,0.85,-2.21,False
BATAINDIA.NS,2026-04-29,Swing_3d,LOST,65,YELLOW_ALERT,-1.2,0.85,-1.02,False
MARICO.NS,2026-04-29,Swing_3d,LOST,65,YELLOW_ALERT,-1.38,0.85,-1.173,False
MAZDOCK.NS,2026-04-29,Swing_5d,LOST,65,YELLOW_ALERT,-3.0,0.85,-2.55,False
MGL.NS,2026-04-29,Swing_5d,LOST,65,YELLOW_ALERT,-1.8,0.85,-1.53,False
ZYDUSLIFE.NS,2026-04-29,Swing_3d,LOST,65,YELLOW_ALERT,-1.76,0.85,-1.496,False
POONAWALLA.NS,2026-04-29,Swing_5d,LOST,65,YELLOW_ALERT,-1.08,0.85,-0.918,False
ICICIBANK.NS,2026-04-28,BTST_1d,EXPIRED_LOSS,68,YELLOW_ALERT,-1.22,0.85,-1.037,False
ASTRAL.NS,2026-04-28,BTST_1d,EXPIRED_LOSS,68,YELLOW_ALERT,-0.49,0.85,-0.4165,False
BEL.NS,2026-04-28,BTST_1d,EXPIRED_WIN,68,YELLOW_ALERT,0.29,0.85,0.2465,True
BALKRISIND.NS,2026-04-28,BTST_1d,EXPIRED_WIN,68,YELLOW_ALERT,0.7,0.85,0.595,True
MANAPPURAM.NS,2026-04-28,BTST_1d,EXPIRED_WIN,68,YELLOW_ALERT,1.27,0.85,1.0795,True
MANAPPURAM.NS,2026-04-28,Swing_5d,EXPIRED_WIN,68,YELLOW_ALERT,5.87,0.85,4.9895,True
OIL.NS,2026-04-28,BTST_1d,EXPIRED_WIN,68,YELLOW_ALERT,0.59,0.85,0.5015,True
BEL.NS,2026-04-28,Swing_3d,LOST,68,YELLOW_ALERT,-1.77,0.85,-1.5045,False
